Title,Genre,Year,RT Rating,Country,Duration in minutes
Mad Max: Fury Road,Action,2015,97,Australia,120
Parasite,Thriller,2019,99,South Korea,132
Mulholland Drive,Thriller,2001,84,United States,147
The Dark Knight,Action,2008,94,United States,152
Portrait of a Lady on Fire,Romance,2019,97,France,120
In the Mood for Love,Romance,2000,92,Hong Kong,98
Spirited Away,Fantasy,2001,96,Japan,125
Pan's Labyrinth,Fantasy,2006,95,Spain,120
The Matrix,Science Fiction,1999,83,United States,136
The Social Network,Biopic,2010,96,United States,120
No Country for Old Men,Western,2007,93,United States,122
There Will Be Blood,Western,2007,91,United States,158
Get Out,Horror,2017,98,United States,104
Moonlight,Coming-of-age,2016,98,United States,111
Everything Everywhere All at Once,Action,2022,93,United States,139
Magnolia,Drama,1999,82,United States,188
Whiplash,Drama,2014,94,United States,106
Inside Llewyn Davis,Comedy,2013,92,United States,105
The Lord of the Rings: The Fellowship of the Ring,Fantasy,2001,92,New Zealand,178
Zodiac,Thriller,2007,90,United States,157
Inglourious Basterds,Action,2009,89,United States,153
The Tree of Life,Coming-of-age,2011,86,United States,139
Paddington 2,Family,2017,99,United Kingdom,104
Black Panther,Action,2018,96,United States,134
Arrival,Science Fiction,2016,94,United States,116
